yourlist:M2022040592C7BAECDB1C5C413EE0E0348724B682493F9F6	Entry	Entry name	Status	Protein names	Gene names	Cross-reference (GeneID)	Organism	Length
PARP1	P09874	PARP1_HUMAN	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	PARP1 ADPRT PPOL	142;	Homo sapiens (Human)	1014
FDFT1	P37268	FDFT_HUMAN	reviewed	Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase 1)	FDFT1	2222;	Homo sapiens (Human)	417
HSPA8	P11142	HSP7C_HUMAN	reviewed	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10	3312;	Homo sapiens (Human)	646
PDLIM1	O00151	PDLI1_HUMAN	reviewed	PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)	PDLIM1 CLIM1 CLP36	9124;	Homo sapiens (Human)	329
EIF5	P55010	IF5_HUMAN	reviewed	Eukaryotic translation initiation factor 5 (eIF-5)	EIF5	1983;	Homo sapiens (Human)	431
CCND1	P24385	CCND1_HUMAN	reviewed	G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene)	CCND1 BCL1 PRAD1	595;	Homo sapiens (Human)	295
TMCO1	Q9UM00	TMCO1_HUMAN	reviewed	Calcium load-activated calcium channel (CLAC channel) (Transmembrane and coiled-coil domain-containing protein 1) (Transmembrane and coiled-coil domains protein 4) (Xenogeneic cross-immune protein PCIA3)	TMCO1 TMCC4 PNAS-10 PNAS-136 UNQ151/PRO177	54499;	Homo sapiens (Human)	239
OXA1L	Q15070	OXA1L_HUMAN	reviewed	Mitochondrial inner membrane protein OXA1L (Hsa) (OXA1Hs) (Oxidase assembly 1-like protein) (OXA1-like protein)	OXA1L	5018;	Homo sapiens (Human)	435
CDC42	P60953	CDC42_HUMAN	reviewed	Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein)	CDC42	998;	Homo sapiens (Human)	191
TSC22D3	Q99576	T22D3_HUMAN	reviewed	TSC22 domain family protein 3 (DSIP-immunoreactive peptide) (Protein DIP) (hDIP) (Delta sleep-inducing peptide immunoreactor) (Glucocorticoid-induced leucine zipper protein) (GILZ) (TSC-22-like protein) (TSC-22-related protein) (TSC-22R)	TSC22D3 DSIPI GILZ	1831;	Homo sapiens (Human)	134
PTK2	Q05397	FAK1_HUMAN	reviewed	Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	PTK2 FAK FAK1	5747;	Homo sapiens (Human)	1052
ADH5	P11766	ADHX_HUMAN	reviewed	Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase 5) (Alcohol dehydrogenase class chi chain) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284)	ADH5 ADHX FDH	128;	Homo sapiens (Human)	374
REEP5	Q00765	REEP5_HUMAN	reviewed	Receptor expression-enhancing protein 5 (Polyposis locus protein 1) (Protein TB2)	REEP5 C5orf18 DP1 TB2	7905;	Homo sapiens (Human)	189
DUSP6	Q16828	DUS6_HUMAN	reviewed	Dual specificity protein phosphatase 6 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PYST1) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3)	DUSP6 MKP3 PYST1	1848;	Homo sapiens (Human)	381
HLA-DRA	P01903	DRA_HUMAN	reviewed	HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)	HLA-DRA HLA-DRA1	3122;	Homo sapiens (Human)	254
ATP6V1D	Q9Y5K8	VATD_HUMAN	reviewed	V-type proton ATPase subunit D (V-ATPase subunit D) (V-ATPase 28 kDa accessory protein) (Vacuolar proton pump subunit D)	ATP6V1D ATP6M VATD	51382;	Homo sapiens (Human)	247
CYCS	P99999	CYC_HUMAN	reviewed	Cytochrome c	CYCS CYC	54205;	Homo sapiens (Human)	105
CAST	O15446	RPA34_HUMAN	reviewed	DNA-directed RNA polymerase I subunit RPA34 (A34.5) (Antisense to ERCC-1 protein) (ASE-1) (CD3-epsilon-associated protein) (CD3E-associated protein) (DNA-directed RNA polymerase I subunit G) (RNA polymerase I-associated factor PAF49)	POLR1G ASE1 CAST CD3EAP PAF49	10849;	Homo sapiens (Human)	510
CAST	P20810	ICAL_HUMAN	reviewed	Calpastatin (Calpain inhibitor) (Sperm BS-17 component)	CAST	831;	Homo sapiens (Human)	708
LGALS8	O00214	LEG8_HUMAN	reviewed	Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1)	LGALS8	3964;	Homo sapiens (Human)	317
BECN1	Q14457	BECN1_HUMAN	reviewed	Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa]	BECN1 GT197	8678;	Homo sapiens (Human)	450
ALDH7A1	P49419	AL7A1_HUMAN	reviewed	Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase)	ALDH7A1 ATQ1	501;	Homo sapiens (Human)	539
STAT3	P40763	STAT3_HUMAN	reviewed	Signal transducer and activator of transcription 3 (Acute-phase response factor)	STAT3 APRF	6774;	Homo sapiens (Human)	770
DNAJB6	O75190	DNJB6_HUMAN	reviewed	DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1)	DNAJB6 HSJ2 MRJ MSJ1	10049;	Homo sapiens (Human)	326
COPS7A	Q9UBW8	CSN7A_HUMAN	reviewed	COP9 signalosome complex subunit 7a (SGN7a) (Signalosome subunit 7a) (Dermal papilla-derived protein 10) (JAB1-containing signalosome subunit 7a)	COPS7A CSN7A DERP10	50813;	Homo sapiens (Human)	275
PSMB8	P28062	PSB8_HUMAN	reviewed	Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i) (Really interesting new gene 10 protein)	PSMB8 LMP7 PSMB5i RING10 Y2	5696;	Homo sapiens (Human)	276
XPNPEP1	Q9NQW7	XPP1_HUMAN	reviewed	Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)	XPNPEP1 XPNPEPL XPNPEPL1	7511;	Homo sapiens (Human)	623
RALGDS	Q12967	GNDS_HUMAN	reviewed	Ral guanine nucleotide dissociation stimulator (RalGDS) (Ral guanine nucleotide exchange factor) (RalGEF)	RALGDS KIAA1308 RGF	5900;	Homo sapiens (Human)	914
CORO1A	P31146	COR1A_HUMAN	reviewed	Coronin-1A (Coronin-like protein A) (Clipin-A) (Coronin-like protein p57) (Tryptophan aspartate-containing coat protein) (TACO)	CORO1A CORO1	11151;	Homo sapiens (Human)	461
GLOD4	Q9HC38	GLOD4_HUMAN	reviewed	Glyoxalase domain-containing protein 4	GLOD4 C17orf25 CGI-150 My027	51031;	Homo sapiens (Human)	313
DLD	P09622	DLDH_HUMAN	reviewed	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)	DLD GCSL LAD PHE3	1738;	Homo sapiens (Human)	509
IFRD2	Q12894	IFRD2_HUMAN	reviewed	Interferon-related developmental regulator 2 (Protein SKMC15)	IFRD2	7866;	Homo sapiens (Human)	506
TSPAN6	O43657	TSN6_HUMAN	reviewed	Tetraspanin-6 (Tspan-6) (A15 homolog) (Putative NF-kappa-B-activating protein 321) (T245 protein) (Tetraspanin TM4-D) (Transmembrane 4 superfamily member 6)	TSPAN6 TM4SF6 UNQ767/PRO1560	7105;	Homo sapiens (Human)	245
CDKN1B	P46527	CDN1B_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1)	CDKN1B KIP1	1027;	Homo sapiens (Human)	198
PRPF4	O43172	PRP4_HUMAN	reviewed	U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)	PRPF4 PRP4	9128;	Homo sapiens (Human)	522
CYB561	P49447	CY561_HUMAN	reviewed	Transmembrane ascorbate-dependent reductase CYB561 (EC 7.2.1.-) (Cytochrome b-561) (Cytochrome b561)	CYB561	1534;	Homo sapiens (Human)	251
MAN2B1	O00754	MA2B1_HUMAN	reviewed	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]	MAN2B1 LAMAN MANB	4125;	Homo sapiens (Human)	1011
MBOAT7	Q96N66	MBOA7_HUMAN	reviewed	Lysophospholipid acyltransferase 7 (LPLAT 7) (EC 2.3.1.-) (1-acylglycerophosphatidylinositol O-acyltransferase) (Bladder and breast carcinoma-overexpressed gene 1 protein) (Leukocyte receptor cluster member 4) (Lysophosphatidylinositol acyltransferase) (LPIAT) (Lyso-PI acyltransferase) (Membrane-bound O-acyltransferase domain-containing protein 7) (O-acyltransferase domain-containing protein 7) (h-mboa-7)	MBOAT7 BB1 LENG4 OACT7	79143;	Homo sapiens (Human)	472
FOS	P01100	FOS_HUMAN	reviewed	Protein c-Fos (Cellular oncogene fos) (Fos proto-oncogene, AP-1 transcription factor subunit) (G0/G1 switch regulatory protein 7) (Proto-oncogene c-Fos) (Transcription factor AP-1 subunit c-Fos)	FOS G0S7	2353;	Homo sapiens (Human)	380
TUBB6	Q9BUF5	TBB6_HUMAN	reviewed	Tubulin beta-6 chain (Tubulin beta class V)	TUBB6	84617;	Homo sapiens (Human)	446
CBR1	P16152	CBR1_HUMAN	reviewed	Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196) (EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189) (Short chain dehydrogenase/reductase family 21C member 1)	CBR1 CBR CRN SDR21C1	873;	Homo sapiens (Human)	277
MFSD10	Q14728	MFS10_HUMAN	reviewed	Major facilitator superfamily domain-containing protein 10 (Tetracycline transporter-like protein)	MFSD10 TETRAN	10227;	Homo sapiens (Human)	455
SORBS3	O60504	VINEX_HUMAN	reviewed	Vinexin (SH3-containing adapter molecule 1) (SCAM-1) (Sorbin and SH3 domain-containing protein 3)	SORBS3 SCAM1	10174;	Homo sapiens (Human)	671
SMC3	Q9UQE7	SMC3_HUMAN	reviewed	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome-associated polypeptide) (hCAP)	SMC3 BAM BMH CSPG6 SMC3L1	9126;	Homo sapiens (Human)	1217
SFN	P31947	1433S_HUMAN	reviewed	14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)	SFN HME1	2810;	Homo sapiens (Human)	248
SFN	Q9Y3B8	ORN_HUMAN	reviewed	Oligoribonuclease, mitochondrial (EC 3.1.15.-) (RNA exonuclease 2 homolog) (Small fragment nuclease)	REXO2 SFN SMFN CGI-114	25996;	Homo sapiens (Human)	237
NR2F6	P10588	NR2F6_HUMAN	reviewed	Nuclear receptor subfamily 2 group F member 6 (V-erbA-related protein 2) (EAR-2)	NR2F6 EAR2 ERBAL2	2063;	Homo sapiens (Human)	404
TSPAN4	O14817	TSN4_HUMAN	reviewed	Tetraspanin-4 (Tspan-4) (Novel antigen 2) (NAG-2) (Transmembrane 4 superfamily member 7)	TSPAN4 NAG2 TM4SF7	7106;	Homo sapiens (Human)	238
GADD45B	O75293	GA45B_HUMAN	reviewed	Growth arrest and DNA damage-inducible protein GADD45 beta (Myeloid differentiation primary response protein MyD118) (Negative growth regulatory protein MyD118)	GADD45B MYD118	4616;	Homo sapiens (Human)	160
PSIP1	O75475	PSIP1_HUMAN	reviewed	PC4 and SFRS1-interacting protein (CLL-associated antigen KW-7) (Dense fine speckles 70 kDa protein) (DFS 70) (Lens epithelium-derived growth factor) (Transcriptional coactivator p75/p52)	PSIP1 DFS70 LEDGF PSIP2	11168;	Homo sapiens (Human)	530
IKBKB	O14920	IKKB_HUMAN	reviewed	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1)	IKBKB IKKB	3551;	Homo sapiens (Human)	756
BAD	Q92934	BAD_HUMAN	reviewed	Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death)	BAD BBC6 BCL2L8	572;	Homo sapiens (Human)	168
STXBP2	Q15833	STXB2_HUMAN	reviewed	Syntaxin-binding protein 2 (Protein unc-18 homolog 2) (Unc18-2) (Protein unc-18 homolog B) (Unc-18B)	STXBP2 UNC18B	6813;	Homo sapiens (Human)	593
ABCC5	O15440	MRP5_HUMAN	reviewed	ATP-binding cassette sub-family C member 5 (EC 7.6.2.-) (EC 7.6.2.2) (Multi-specific organic anion transporter C) (MOAT-C) (Multidrug resistance-associated protein 5) (SMRP) (pABC11)	ABCC5 MRP5	10057;	Homo sapiens (Human)	1437
KIF2C	Q99661	KIF2C_HUMAN	reviewed	Kinesin-like protein KIF2C (Kinesin-like protein 6) (Mitotic centromere-associated kinesin) (MCAK)	KIF2C KNSL6	11004;	Homo sapiens (Human)	725
GRB10	Q13322	GRB10_HUMAN	reviewed	Growth factor receptor-bound protein 10 (GRB10 adapter protein) (Insulin receptor-binding protein Grb-IR)	GRB10 GRBIR KIAA0207	2887;	Homo sapiens (Human)	594
ARHGEF2	Q92974	ARHG2_HUMAN	reviewed	Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40)	ARHGEF2 KIAA0651 LFP40	9181;	Homo sapiens (Human)	986
AURKB	Q96GD4	AURKB_HUMAN	reviewed	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5	9212;	Homo sapiens (Human)	344
MKNK1	Q9BUB5	MKNK1_HUMAN	reviewed	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)	MKNK1 MNK1	8569;	Homo sapiens (Human)	465
RPA3	P35244	RFA3_HUMAN	reviewed	Replication protein A 14 kDa subunit (RP-A p14) (Replication factor A protein 3) (RF-A protein 3)	RPA3 REPA3 RPA14	6119;	Homo sapiens (Human)	121
RAB27A	P51159	RB27A_HUMAN	reviewed	Ras-related protein Rab-27A (Rab-27) (EC 3.6.5.2) (GTP-binding protein Ram)	RAB27A RAB27	5873;	Homo sapiens (Human)	221
HDGFRP3	Q9Y3E1	HDGR3_HUMAN	reviewed	Hepatoma-derived growth factor-related protein 3 (HRP-3) (Hepatoma-derived growth factor 2) (HDGF-2)	HDGFL3 HDGF2 HDGFRP3 CGI-142	50810;	Homo sapiens (Human)	203
GSTZ1	O43708	MAAI_HUMAN	reviewed	Maleylacetoacetate isomerase (MAAI) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1) (EC 2.5.1.18)	GSTZ1 MAAI	2954;	Homo sapiens (Human)	216
RRS1	Q15050	RRS1_HUMAN	reviewed	Ribosome biogenesis regulatory protein homolog	RRS1 KIAA0112 RRR	23212;	Homo sapiens (Human)	365
EED	O75530	EED_HUMAN	reviewed	Polycomb protein EED (hEED) (Embryonic ectoderm development protein) (WD protein associating with integrin cytoplasmic tails 1) (WAIT-1)	EED	8726;	Homo sapiens (Human)	441
GNAI1	P63096	GNAI1_HUMAN	reviewed	Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein)	GNAI1	2770;	Homo sapiens (Human)	354
PRUNE	Q86TP1	PRUN1_HUMAN	reviewed	Exopolyphosphatase PRUNE1 (EC 3.6.1.1) (Drosophila-related expressed sequence 17) (DRES-17) (DRES17) (HTcD37) (Protein prune homolog 1) (hPrune)	PRUNE1 PRUNE	58497;	Homo sapiens (Human)	453
EPHB2	P29323	EPHB2_HUMAN	reviewed	Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2]	EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5	2048;	Homo sapiens (Human)	1055
GATA3	P23771	GATA3_HUMAN	reviewed	Trans-acting T-cell-specific transcription factor GATA-3 (GATA-binding factor 3)	GATA3	2625;	Homo sapiens (Human)	443
ACAT2	O75908	SOAT2_HUMAN	reviewed	Sterol O-acyltransferase 2 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 2) (ACAT-2) (Cholesterol acyltransferase 2)	SOAT2 ACACT2 ACAT2	8435;	Homo sapiens (Human)	522
ACAT2	Q9BWD1	THIC_HUMAN	reviewed	Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Acetyl-CoA transferase-like protein) (Cytosolic acetoacetyl-CoA thiolase)	ACAT2 ACTL	39;	Homo sapiens (Human)	397
PAK1	Q13153	PAK1_HUMAN	reviewed	Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK)	PAK1	5058;	Homo sapiens (Human)	545
PAK1	Q16512	PKN1_HUMAN	reviewed	Serine/threonine-protein kinase N1 (EC 2.7.11.13) (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N)	PKN1 PAK1 PKN PRK1 PRKCL1	5585;	Homo sapiens (Human)	942
CETN3	O15182	CETN3_HUMAN	reviewed	Centrin-3	CETN3 CEN3	1070;	Homo sapiens (Human)	167
CBLB	Q13191	CBLB_HUMAN	reviewed	E3 ubiquitin-protein ligase CBL-B (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene b) (RING finger protein 56) (RING-type E3 ubiquitin transferase CBL-B) (SH3-binding protein CBL-B) (Signal transduction protein CBL-B)	CBLB RNF56 Nbla00127	868;	Homo sapiens (Human)	982
GATA2	P23769	GATA2_HUMAN	reviewed	Endothelial transcription factor GATA-2 (GATA-binding protein 2)	GATA2	2624;	Homo sapiens (Human)	480
TGFB3	P10600	TGFB3_HUMAN	reviewed	Transforming growth factor beta-3 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-3 (TGF-beta-3)]	TGFB3	7043;	Homo sapiens (Human)	412
CXCL2	P19875	CXCL2_HUMAN	reviewed	C-X-C motif chemokine 2 (Growth-regulated protein beta) (Gro-beta) (Macrophage inflammatory protein 2-alpha) (MIP2-alpha) [Cleaved into: GRO-beta(5-73) (GRO-beta-T) (Hematopoietic synergistic factor) (HSF) (SB-251353)]	CXCL2 GRO2 GROB MIP2A SCYB2	2920;	Homo sapiens (Human)	107
HIST1H2BK	O60814	H2B1K_HUMAN	reviewed	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	H2BC12 H2BFT HIRIP1 HIST1H2BK	85236;	Homo sapiens (Human)	126
ANXA7	P20073	ANXA7_HUMAN	reviewed	Annexin A7 (Annexin VII) (Annexin-7) (Synexin)	ANXA7 ANX7 SNX OK/SW-cl.95	310;	Homo sapiens (Human)	488
SPP1	P10451	OSTP_HUMAN	reviewed	Osteopontin (Bone sialoprotein 1) (Nephropontin) (Secreted phosphoprotein 1) (SPP-1) (Urinary stone protein) (Uropontin)	SPP1 BNSP OPN PSEC0156	6696;	Homo sapiens (Human)	314
SPP1	Q9BX95	SGPP1_HUMAN	reviewed	Sphingosine-1-phosphate phosphatase 1 (SPPase1) (Spp1) (hSPP1) (hSPPase1) (EC 3.1.3.-) (Sphingosine-1-phosphatase 1) (Sphingosine-1-phosphate phosphohydrolase 1) (SPP-1)	SGPP1 SPP1	81537;	Homo sapiens (Human)	441
PUF60	Q9UHX1	PUF60_HUMAN	reviewed	Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (FUSE-binding protein-interacting repressor) (FBP-interacting repressor) (Ro-binding protein 1) (RoBP1) (Siah-binding protein 1) (Siah-BP1)	PUF60 FIR ROBPI SIAHBP1	22827;	Homo sapiens (Human)	559
CFLAR	O15519	CFLAR_HUMAN	reviewed	CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin) [Cleaved into: CASP8 and FADD-like apoptosis regulator subunit p43; CASP8 and FADD-like apoptosis regulator subunit p12]	CFLAR CASH CASP8AP1 CLARP MRIT	8837;	Homo sapiens (Human)	480
PRKCQ	Q04759	KPCT_HUMAN	reviewed	Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta)	PRKCQ PRKCT	5588;	Homo sapiens (Human)	706
MAPK13	O15264	MK13_HUMAN	reviewed	Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)	MAPK13 PRKM13 SAPK4	5603;	Homo sapiens (Human)	365
FYN	P06241	FYN_HUMAN	reviewed	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN	2534;	Homo sapiens (Human)	537
RPL39L	Q96EH5	RL39L_HUMAN	reviewed	60S ribosomal protein L39-like (60S ribosomal protein L39-2) (Large ribosomal subunit protein eL39-like)	RPL39L RPL39L1	116832;	Homo sapiens (Human)	51
PLA2G4A	P47712	PA24A_HUMAN	reviewed	Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)]	PLA2G4A CPLA2 PLA2G4	5321;	Homo sapiens (Human)	749
DYRK3	O43781	DYRK3_HUMAN	reviewed	Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1) (Regulatory erythroid kinase) (REDK)	DYRK3	8444;	Homo sapiens (Human)	588
ME2	P23368	MAOM_HUMAN	reviewed	NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)	ME2	4200;	Homo sapiens (Human)	584
ACLY	P53396	ACLY_HUMAN	reviewed	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)	ACLY	47;	Homo sapiens (Human)	1101
CHEK2	O96017	CHK2_HUMAN	reviewed	Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2)	CHEK2 CDS1 CHK2 RAD53	11200;	Homo sapiens (Human)	543
GPER1	Q99527	GPER1_HUMAN	reviewed	G-protein coupled estrogen receptor 1 (Chemoattractant receptor-like 2) (Flow-induced endothelial G-protein coupled receptor 1) (FEG-1) (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30) (GPCR-Br) (IL8-related receptor DRY12) (Lymphocyte-derived G-protein coupled receptor) (LYGPR) (Membrane estrogen receptor) (mER)	GPER1 CEPR CMKRL2 DRY12 GPER GPR30	2852;	Homo sapiens (Human)	375
HMG20B	Q9P0W2	HM20B_HUMAN	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related (SMARCE1-related protein) (BRCA2-associated factor 35) (HMG box-containing protein 20B) (HMG domain-containing protein 2) (HMG domain-containing protein HMGX2) (Sox-like transcriptional factor) (Structural DNA-binding protein BRAF35)	HMG20B BRAF35 HMGX2 HMGXB2 SMARCE1R	10362;	Homo sapiens (Human)	317
LYN	P07948	LYN_HUMAN	reviewed	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	LYN JTK8	4067;	Homo sapiens (Human)	512
GRB7	Q14451	GRB7_HUMAN	reviewed	Growth factor receptor-bound protein 7 (B47) (Epidermal growth factor receptor GRB-7) (GRB7 adapter protein)	GRB7	2886;	Homo sapiens (Human)	532
